"company_name"
"Oracle"
"Ciena"
"UST"
"Google"
"Atlassian"
"Ericsson"
"Pearson"
"Johnson & Johnson"
"Carrier"
"EPAM Systems"
"ManpowerGroup"
"Genpact"
"Publicis Groupe"
"Accenture"
"Stripe"
"Cognizant"
"ICONMA"
"Upwork"
"IBM"
"databeat"
"S&P Global"
"Salesforce"
"ICF"
"Fractal"
"Honeywell"
"Paradise Placement Consultancy"
"Resource Informatics Group, Inc"
"HuQuo"
"Dyson"
"Tiger Analytics"
"Deutsche Bank"
"World Wide Technology"
"Expedia Group"
"servicenow"
"WBC"
"Deloitte"
"Twilio"
"Conduent"
"GSK"
"SAZ India"
"Danske Bank"
"Accenture in India"
"Michael Page"
"WHITE FORCE"
"Marktine Technology Solutions"
"VySystems"
"Morgan Stanley"
"Bristol-Myers Squibb"
"Amazon"
"Infogain"
"Nityo Infotech"
"Wood Mackenzie"
"Cigna"
"Dentsu Inc"
"Wise Skulls"
"LatentView Analytics"
"Tekskills Inc."
"Crescendo Global"
"Ford Motor Company"
"PubMatic"
"EY"
"Veridic Solutions"
"GSPANN Technologies"
"Capgemini"
"JPMorgan Chase & Co."
"Publicis Sapient"
"AXA"
"Quess Corp Limited"
"Workforce Australia for Individuals"
"BNY Mellon"
"Zorba Consulting India"
"Autodesk"
"Thomson Reuters"
"UBS"
"DISYS"
"Takeda Pharmaceutical"
"FIS"
"TekWissen ®"
"DBS Bank"
"Diverse Lynx"
"Ecolab"
"Virtusa"
"Zoxima Solutions Pvt. Ltd."
"Ascendion"
"Aston Carter"
"dentsu"
"Alcon"
"Kyndryl"
"Compunnel Inc."
"Capco"
"Agensi Pekerjaan BTC Sdn Bhd"
"Dell"
"Target"
"MAJID AL FUTTAIM"
"Apexon"
"LTIMindtree"
"LTI - Larsen & Toubro Infotech"
"Braintrust"
"TeacherOn"
"Infosys"
"Smollan"
"Emerson"
"USEReady"
"Wolters Kluwer"
"Arthur Lawrence"
"Hopper"
"Affine"
"NatWest Group"
"Veeva"
"Akkodis"
"Tata Consultancy Services"
"Abbott"
"Marktine Technology Solutions Pvt Ltd"
"RED Global"
"TechnoGen, Inc."
"Lilly"
"TMF Group"
"System Soft Technologies"
"Bristol Myers Squibb"
"DSV"
"V-Soft Consulting Group, Inc."
"Royal Cyber ​​Inc."
"TransUnion"
"NTT DATA Services"
"Stats Perform"
"Zensar Technologies"
"AstraZeneca"
"GSPANN Technologies, Inc"
"Programmers"
"XA Group"
"EVRY India"
"Novartis"
"Augusta Infotech"
"Rayden Interactive"
"Silverlink Technologies"
"HSBC"
"Synopsys"
"Recruise India Consulting Pvt Ltd"
"YouGov"
"Jet2 Travel Technologies"
"GyanSys Inc."
"AIN Staffing"
"Zoom"
"VMware"
"Keyrus"
"Change Leaders"
"Srijan Technologies"
"JLL"
"Redbox"
"Worley"
"Orange"
"SAP"
"Maersk Line"
"Maersk Global Service Centres India Private Limited"
"ML OUTSOURCING SERVICES PRIVATE LIMITED"
"Citi bank"
"UnitedHealthcare"
"Air Products Inc"
"Kwalee"
"Pyramid Consulting, Inc"
"GlobalLogic A Hitachi Group Company"
"2K"
"WSP"
"Quantiphi"
"Invesco Asset Management (India) Private Limited"
"Tech Mahindra"
"Rystad Energy"
"Recruitment Firm"
"Epiq"
"Numentica LLC"
"Grab"
"Alshaya"
"Strategic Talent Partner"
"The Economist Group"
"BT Group"
"ERM Placement Services Private Limited"
"WorldLine"
"Cloud Visa Immigration LLP"
"Vertiv Co."
"Aditi Consulting - India Staffing"
"Mimecast"
"origin hr"
"Taggd"
"Brit Insurance"
"Atlas Copco"
"Cummins Inc."
"Janes"
"Macquarie Group"
"Trantor Software"
"MNR Solutions Pvt Ltd"
"Growel Softech Pvt. Ltd."
